player,tour,steal_charting
Ugo Blanchet,m,25.8
Ugo Humbert,m,10.9
Valentin Royer,m,16.2
Valentin Vacherot,m,13.4
Varvara Gracheva,w,19.9
Varvara Lepchenko,w,17.5
Vasek Pospisil,m,17.2
Venus Williams,w,9.0
Vera Zvonareva,w,22.1
Veronika Erjavec,w,21.1
Veronika Kudermetova,w,19.2
Victor Estrella,m,24.0
Victoria Azarenka,w,20.1
Victoria Jimenez Kasintseva,w,24.2
Victoria Mboko,w,19.3
Viktor Troicki,m,16.2
Viktoria Hruncakova,w,25.3
Viktorija Golubic,w,44.5
Viktoriya Tomova,w,27.3
Vilius Gaubas,m,34.2
Vitas Gerulaitis,m,41.3
Wayne Ferreira,m,14.9
Whitney Osuigwe,w,25.3
Xavier Malisse,m,20.1
Xin Yu Wang,w,25.6
Xinyu Gao,w,21.1
Xiyu Wang,w,20.3
Yafan Wang,w,23.7
Yanina Wickmayer,w,10.2
Yannick Hanfmann,m,44.4
Yannick Noah,m,52.4
Yevgeny Kafelnikov,m,20.4
Yibing Wu,m,17.8
Yoshihito Nishioka,m,22.9
Younes El Aynaoui,m,22.9
Ysaline Bonaventure,w,16.5
Yue Yuan,w,13.9
Yuichi Sugita,m,20.3
Yulia Putintseva,w,68.7
Zarina Diyas,w,36.7
Zdenek Kolar,m,51.5
Zeynep Sonmez,w,18.3
Zhizhen Zhang,m,22.1
Zina Garrison,w,40.2
Zizou Bergs,m,27.9
Zsombor Piros,m,49.8
