tour,player,WinUFE,short_win%,long_win%,steal_droplob,BP_conv%,forces_oppUFE,adjUFE
MEN,Jannik Sinner,0.87,54.2,55.2,21.6,43.2,1.16,18.3
MEN,Jaume Munar,0.97,49.8,48.1,33.2,36.8,-0.28,16.9
MEN,Jenson Brooksby,0.82,48.5,52.3,22.9,42.1,0.94,18.0
MEN,Jeremy Chardy,0.92,42.1,,17.5,,-1.72,17.6
MEN,Jim Courier,0.96,,,25.1,,-0.53,17.8
MEN,Jimmy Connors,0.79,,,28.2,,2.98,19.2
MEN,Jiri Lehecka,1.16,48.0,46.5,19.3,33.8,0.45,17.6
MEN,Jiri Novak,0.96,,,22.5,,1.75,17.2
MEN,Jo Wilfried Tsonga,1.01,44.3,,25.2,,-0.40,16.6
MEN,Joao Fonseca,1.25,50.8,51.2,23.7,36.5,1.52,16.3
MEN,Joao Sousa,0.84,42.0,,23.2,,-0.13,17.9
MEN,John Isner,1.46,51.5,38.5,22.5,,-2.85,13.8
MEN,John Mcenroe,1.36,,,42.6,,-4.04,14.0
MEN,Jordan Thompson,0.97,48.5,46.0,24.8,,1.40,17.3
MEN,Juan Carlos Ferrero,0.95,,,22.5,,1.67,17.4
MEN,Juan Martin Del Potro,1.09,,,22.7,,1.14,16.9
MEN,Juan Pablo Varillas,1.11,49.8,43.0,22.6,,4.11,16.9
MEN,Karen Khachanov,1.05,50.6,47.9,24.1,39.8,0.90,17.1
MEN,Karim Mohamed Maamoun,0.73,53.5,,26.3,,6.60,21.0
MEN,Kei Nishikori,0.84,48.5,47.7,20.8,,-0.05,18.2
MEN,Kevin Anderson,1.30,51.9,,24.4,,-1.50,15.2
MEN,Laslo Djere,0.83,47.7,43.0,22.3,36.4,2.78,18.9
MEN,Learner Tien,0.82,49.4,50.7,22.5,45.1,1.55,18.8
MEN,Lleyton Hewitt,0.92,,,17.2,,0.60,18.1
MEN,Lorenzo Musetti,0.95,50.4,51.6,40.6,40.4,1.49,17.4
MEN,Lorenzo Sonego,1.11,48.9,42.6,42.5,32.2,-0.31,16.9
MEN,Lucas Pouille,1.05,44.1,,30.3,,-0.22,16.9
MEN,Luciano Darderi,1.37,48.2,51.9,39.5,,1.03,15.9
MEN,Mackenzie Mcdonald,0.99,47.7,47.7,23.7,,0.63,16.9
MEN,Marat Safin,1.01,,,22.2,,0.62,16.7
MEN,Marc Rosset,1.18,,,17.1,,-2.61,14.8
MEN,Marcelo Rios,0.81,,,16.8,,1.14,19.3
MEN,Marcos Baghdatis,0.95,,,23.3,,-0.82,16.9
MEN,Marcos Giron,1.08,46.3,52.0,20.4,35.2,1.27,17.7
MEN,Mariano Navone,0.60,48.0,50.3,26.6,,4.99,22.5
MEN,Marin Cilic,0.97,50.5,50.2,16.4,37.9,0.49,17.1
MEN,Mark Philippoussis,1.14,,,23.6,,-4.10,15.4
MEN,Marton Fucsovics,0.71,49.3,46.2,21.9,39.1,2.87,19.0
MEN,Mats Wilander,1.12,,,28.4,,0.32,16.5
MEN,Matteo Berrettini,1.04,51.7,47.8,30.0,39.3,0.50,17.0
MEN,Michael Chang,0.99,,,25.1,,0.00,17.9
MEN,Michael Stich,1.09,,,24.9,,-2.77,15.9
MEN,Mikael Ymer,0.71,49.0,49.2,28.0,,3.26,20.7
MEN,Mikhail Kukushkin,1.04,48.2,54.3,27.8,,0.61,16.0
MEN,Mikhail Youzhny,0.98,,,23.1,,0.06,17.2
MEN,Milos Raonic,1.19,51.8,,17.2,,-2.88,15.6
MEN,Miomir Kecmanovic,1.17,48.9,50.3,23.0,37.8,-0.43,16.6
MEN,Nick Kyrgios,1.53,51.8,48.4,27.6,41.5,-2.22,14.7
MEN,Nicolas Almagro,0.95,,,18.9,,-0.69,16.9
MEN,Nicolas Jarry,1.19,50.0,52.9,19.9,31.5,0.94,17.7
MEN,Nicolas Massu,0.94,,,20.2,,1.67,18.1
MEN,Nikolay Davydenko,0.82,,,13.7,,2.63,18.5
MEN,Nikoloz Basilashvili,0.84,46.2,39.8,14.9,,3.78,19.9
MEN,Nishesh Basavareddy,1.41,51.8,53.0,20.0,40.2,-1.40,13.9
MEN,Novak Djokovic,0.97,54.0,54.7,22.5,41.7,0.02,17.0
MEN,Nuno Borges,1.21,49.4,48.8,33.5,,1.33,17.2
MEN,Otto Virtanen,1.18,49.9,38.1,33.0,,-1.02,14.8
MEN,Pablo Andujar,1.15,39.8,45.1,39.3,,0.38,16.2
MEN,Pablo Carreno Busta,1.10,47.9,49.9,20.6,35.3,0.80,16.7
MEN,Patrick Rafter,1.32,,,24.5,,-3.84,14.1
MEN,Pedro Martinez,1.28,45.1,52.3,38.4,37.3,-0.30,15.3
MEN,Pete Sampras,1.25,,,19.7,,-2.94,14.9
MEN,Petr Korda,0.81,,,19.4,,2.90,18.7
MEN,Philipp Kohlschreiber,1.04,,,25.6,,-1.91,16.6
MEN,Radek Stepanek,1.29,,,26.0,,-2.96,13.8
MEN,Radu Albot,0.75,45.9,51.8,19.8,,2.14,19.6
MEN,Rafael Nadal,0.96,51.4,53.7,18.0,42.4,0.07,17.4
